order_id,supplier_id,supplier_name,product_id,product_name,category,order_date,expected_delivery,actual_delivery,quantity,unit_price,total_amount,warehouse_id,warehouse_location,status,quality_check,inspector,last_updated
ORD-00000001,SUP-00039,"Wiley, Brown and Sampson",PRD-000137,Cross-group multi-state firmware,Raw Materials,2025-03-01,2025-04-22,2025-05-02,628,6469.9303,4063116.23,WH-004,"Atlanta, GA",Ordered,Pending,,2025-04-20
ORD-00000002,,Morgan-Ware,PRD-000184,Distributed user-facing encryption,Raw Materials,2025-11-22,2025-12-27,2026-01-13,118,9653.4279,1139104.49,WH-002,"New York, NY",In Transit,Pending,,2025-09-10
ORD-00000003,SUP-00002,Jimenez Inc,PRD-000078,Devolved didactic instruction set,Electronics,2025-02-28,2025-04-28,2025-04-28,4776,506.7709,2094385.07,WH-010,"Los Angeles, CA",Cancelled,,,2026-02-12
ORD-00000004,SUP-00005,Williams LLC,PRD-000020,Universal methodical workforce,Chemicals,2024-05-15,2024-07-07,2024-07-17,2590,3639.9527,9427477.49,WH-004,"Los Angeles, CA",In Transit,Pending,,2025-12-05
ORD-00000005,SUP-00034,Krueger-Jackson,PRD-000014,Upgradable composite firmware,Chemicals,2025-05-23,2025-07-16,2025-07-26,237,821.021,194581.98,WH-004,"Dallas, TX",In Transit,Pending,,2024-10-31
ORD-00000006,SUP-00034,Krueger-Jackson,PRD-000154,Ameliorated 6thgeneration access,Chemicals,2024-12-03,2024-12-22,2025-01-06,2236,7016.0675,15687926.93,WH-002,"Los Angeles, CA",Delivered,Pending,Katherine Rivera,2024-08-02
ORD-00000007,SUP-00055,"Myers, Coleman and White",PRD-000194,Re-contextualized mission-critical algorithm,Food & Beverage,2026-03-08,2026-04-08,2026-04-22,653,8294.1476,5416078.38,WH-003,"Los Angeles, CA",Returned,Pass,,2025-10-06
ORD-00000008,SUP-00034,Krueger-Jackson,PRD-000105,Universal bifurcated Graphical User Interface,Chemicals,2024-07-29,2024-08-08,2024-08-06,3920,770.1534,3019001.33,WH-014,"Chicago, IL",In Transit,Pending,,2024-05-09
ORD-00000009,SUP-00036,Thomas-Velasquez,PRD-000126,Organized 24hour attitude,Chemicals,2025-07-06,2025-07-17,,2621,3892.5871,10202470.79,WH-010,"Chicago, IL",Ordered,Pending,,2026-01-07
ORD-00000010,SUP-00053,"Osborn, Ryan and Garrett",PRD-000173,Optional multimedia architecture,Electronics,2024-04-10,2024-06-07,2024-06-15,692,1947.5375,1347695.95,WH-013,"Dallas, TX",In Transit,,,2024-11-24
ORD-00000011,SUP-00075,Barron Ltd,PRD-000143,Vision-oriented tangible secured line,Machinery,2024-05-17,2024-05-08,2024-07-14,3424,6372.4276,21819192.1,WH-006,"Chicago, IL",Returned,Pending,Jamie Jackson,2025-05-30
ORD-00000012,SUP-00049,Arellano-Anderson,PRD-000021,Synergized zero tolerance approach,Textiles,2024-04-19,2024-05-02,2024-05-03,2317,8141.0422,18862794.78,WH-002,"Chicago, IL",Cancelled,Pending,,2025-10-15
ORD-00000013,SUP-00074,"Mcclain, Johnson and Gibson",PRD-000035,Programmable 6thgeneration open system,Chemicals,2024-10-01,2024-10-31,2024-11-14,1574,379.1436,596772.03,WH-011,"Los Angeles, CA",Ordered,,,2024-04-25
